,x,trail_system
1,Bird Creek,Seward Highway
2,Crow Pass,Crow Pass
3,Dew Mound,Eagle River
4,Eklutna Lakeside,Eklutna
5,Falls Creek,Seward Highway
6,Gasline,Bicenntenial Park
7,Indian Creek Pass,Seward Highway
8,Indian To Bird Bike,Seward Highway
9,McHugh Lake,Seward Highway
10,Middle Fork Loop,Glen Alps
11,Peters Valley,Peters Creek
12,Ptarmigan Valley,Peters Creek
13,Ship Lake Pass,South Anchorage Hillside
14,South Fork ER,Eagle River
15,Williwaw Lakes,
16,A Street Trail,weak trail
17,Campbell Creek Trail,Campbell Creek
18,Glenn Hwy Trail,Glenn Highway
19,Iditarod Trail,Girdwood
20,Powerline/gasline,Powerline
21,Powerline/near Point,Powerline
22,Tank Trail,Tank Trail
23,Winner Creek Trail,Girdwood
